name_pl,proxy_fdc,sfa,sugar,ca,fe,mg,k,na,zn,vitc,vitd_iu,b12,folate,epa,dha,iodine
Orzechy włoskie,170187,6.126,2.61,98.0,2.91,158.0,441.0,2.0,3.09,1.3,0.0,0.0,98.0,0.0,0.0,0.0
Migdały,170567,3.802,4.35,269.0,3.71,270.0,733.0,1.0,3.12,0.0,0.0,0.0,44.0,0.0,0.0,0.0
Orzechy nerkowca,170162,7.783,5.91,37.0,6.68,292.0,660.0,12.0,5.78,0.5,0.0,0.0,25.0,0.0,0.0,0.0
Nasiona chia,170554,3.33,0.0,631.0,7.72,335.0,407.0,16.0,4.58,1.6,0.0,0.0,49.0,0.0,0.0,0.0
Siemię lniane,169414,3.663,1.55,255.0,5.73,392.0,813.0,30.0,4.34,0.6,0.0,0.0,87.0,0.0,0.0,0.0
Pestki dyni,170556,8.659,1.4,46.0,8.82,592.0,809.0,7.0,7.81,1.9,0.0,0.0,58.0,0.0,0.0,0.0
Słonecznik łuskany,170562,4.455,2.62,78.0,5.25,325.0,645.0,9.0,5.0,1.4,0.0,0.0,227.0,0.014,0.0,0.0
Awokado,171705,2.126,0.66,12.0,0.55,29.0,485.0,7.0,0.64,10.0,0.0,0.0,81.0,0.0,0.0,0.0
Tahini,170189,7.529,0.49,426.0,8.95,95.0,414.0,115.0,4.62,0.0,0.0,0.0,98.0,0.0,0.0,0.0
Oliwki czarne,169094,2.279,0.0,88.0,6.28,4.0,8.0,735.0,0.22,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Mleczko kokosowe,170173,18.915,0.0,18.0,3.3,46.0,220.0,13.0,0.56,1.0,0.0,0.0,14.0,0.0,0.0,0.0
Gorzka czekolada 70-85%,170273,24.489,23.99,73.0,11.9,228.0,715.0,20.0,3.31,0.0,0.0,0.28,0.0,0.0,0.0,0.0
Brokuł,170379,0.114,1.7,47.0,0.73,21.0,316.0,33.0,0.41,89.2,0.0,0.0,63.0,0.0,0.0,0.0
Kalafior,169986,0.13,1.91,22.0,0.42,15.0,299.0,30.0,0.27,48.2,0.0,0.0,57.0,0.0,0.0,0.0
Szpinak świeży,168462,0.063,0.42,99.0,2.71,79.0,558.0,79.0,0.53,28.1,0.0,0.0,194.0,0.0,0.0,0.0
Pomidor,170457,0.028,2.63,10.0,0.27,11.0,237.0,5.0,0.17,13.7,0.0,0.0,15.0,0.0,0.0,0.0
Pomidory krojone z puszki,170051,0.034,2.55,33.0,0.57,10.0,191.0,115.0,0.12,12.6,0.0,0.0,8.0,0.0,0.0,0.0
Passata pomidorowa,170460,0.029,4.83,18.0,1.78,23.0,439.0,28.0,0.36,10.6,0.0,0.0,11.0,0.0,0.0,0.0
Koncentrat pomidorowy,170459,0.1,12.18,36.0,2.98,42.0,1014.0,59.0,0.63,21.9,0.0,0.0,12.0,0.0,0.0,0.0
Ogórek,168409,0.037,1.67,16.0,0.28,13.0,147.0,2.0,0.2,2.8,0.0,0.0,7.0,0.0,0.0,0.0
Papryka czerwona,170108,0.059,4.2,7.0,0.43,12.0,211.0,4.0,0.25,127.7,0.0,0.0,46.0,0.0,0.0,0.0
Cebula,170000,0.042,4.24,23.0,0.21,10.0,146.0,4.0,0.17,7.4,0.0,0.0,19.0,0.0,0.0,0.0
Czosnek,169230,0.089,1.0,181.0,1.7,25.0,401.0,17.0,1.16,31.2,0.0,0.0,3.0,0.0,0.0,0.0
Marchew,170393,0.032,4.74,33.0,0.3,12.0,320.0,69.0,0.24,5.9,0.0,0.0,19.0,0.0,0.0,0.0
Cukinia,169291,0.084,2.5,16.0,0.37,18.0,261.0,8.0,0.32,17.9,0.0,0.0,24.0,0.0,0.0,0.0
Pieczarki,169251,0.05,1.98,3.0,0.5,9.0,318.0,5.0,0.52,2.1,7.0,0.04,17.0,0.0,0.0,0.0
Sałata,169249,0.02,0.78,36.0,0.86,13.0,194.0,28.0,0.18,9.2,0.0,0.0,38.0,0.0,0.0,0.0
Rukola,169387,0.086,2.05,160.0,1.46,47.0,369.0,27.0,0.47,15.0,0.0,0.0,97.0,0.0,0.0,0.0
Kapusta biała,169975,0.034,3.2,40.0,0.47,12.0,170.0,18.0,0.18,36.6,0.0,0.0,43.0,0.0,0.0,0.0
Kapusta kiszona,169279,0.034,1.78,30.0,1.47,13.0,170.0,661.0,0.19,14.7,0.0,0.0,24.0,0.0,0.0,0.0
Ogórek kiszony,168558,0.079,1.07,57.0,0.26,7.0,117.0,809.0,0.1,2.3,0.0,0.0,8.0,0.0,0.0,0.0
Burak,169145,0.027,6.76,16.0,0.8,23.0,325.0,78.0,0.35,4.9,0.0,0.0,109.0,0.0,0.0,0.0
Fasolka szparagowa,169961,0.05,3.26,37.0,1.03,25.0,211.0,6.0,0.24,12.2,0.0,0.0,33.0,0.0,0.0,0.0
Groszek zielony (mrożony),170016,0.066,5.0,22.0,1.53,26.0,153.0,108.0,0.82,18.0,0.0,0.0,53.0,0.0,0.0,0.0
Kukurydza z puszki,169214,0.245,4.44,3.0,0.27,13.0,132.0,205.0,0.32,1.8,0.0,0.0,39.0,0.0,0.0,0.0
Dynia,168448,0.052,2.76,21.0,0.8,12.0,340.0,1.0,0.32,9.0,0.0,0.0,16.0,0.0,0.0,0.0
Bakłażan,169228,0.034,3.53,9.0,0.23,14.0,229.0,2.0,0.16,2.2,0.0,0.0,22.0,0.0,0.0,0.0
Por,169246,0.04,3.9,59.0,2.1,28.0,180.0,20.0,0.12,12.0,0.0,0.0,64.0,0.0,0.0,0.0
Seler naciowy,169988,0.042,1.34,40.0,0.2,11.0,260.0,80.0,0.13,3.1,0.0,0.0,36.0,0.0,0.0,0.0
Mieszanka warzyw mrożonych,170471,0.098,0.0,25.0,0.95,24.0,212.0,47.0,0.45,10.4,0.0,0.0,29.0,0.0,0.0,0.0
Natka pietruszki,170416,0.132,0.85,138.0,6.2,50.0,554.0,56.0,1.07,133.0,0.0,0.0,152.0,0.0,0.0,0.0
Koperek,172233,0.06,0.0,208.0,6.59,55.0,738.0,61.0,0.91,85.0,0.0,0.0,150.0,0.0,0.0,0.0
Szczypiorek,169994,0.146,1.85,92.0,1.6,42.0,296.0,3.0,0.56,58.1,0.0,0.0,105.0,0.0,0.0,0.0
Banan,173944,0.112,12.23,5.0,0.26,27.0,358.0,1.0,0.15,8.7,0.0,0.0,20.0,0.0,0.0,0.0
Jabłko,171688,0.028,10.39,6.0,0.12,5.0,107.0,1.0,0.04,4.6,0.0,0.0,3.0,0.0,0.0,0.0
Borówki,171711,0.028,9.96,6.0,0.28,6.0,77.0,1.0,0.16,9.7,0.0,0.0,6.0,0.0,0.0,0.0
Truskawki,167762,0.015,4.89,16.0,0.41,13.0,153.0,1.0,0.14,58.8,0.0,0.0,24.0,0.0,0.0,0.0
